지번주소,도로명주소,사업장명,좌표정보(X),좌표정보(Y),문화체육업종명
서울특별시 광진구 구의동 611 구의현대2단지 상가동 304호,"서울특별시 광진구 광나루로56길 34, 구의현대2단지 상가동 304호 (구의동)",드바디샵,208403.746065593    ,448490.239179557    ,체력단련장업
서울특별시 광진구 화양동 21-22 지층,"서울특별시 광진구 동일로30길 23, 지층 (화양동, 케이타워오피스텔B)",휘트니스우먼,205992.536392711    ,449493.989066549    ,체력단련장업
서울특별시 중랑구 망우동 209-8 태광치과의원 3동 302호,"서울특별시 중랑구 망우로 463, 태광치과의원 3층 302호 (망우동)",저스트PT,209083.646196172    ,455380.068728154    ,체력단련장업
서울특별시 중랑구 면목동 632-3 우리은행,"서울특별시 중랑구 면목로 283, 우리은행 4, 5층 (면목동)",시너지 휘트니스,207503.084210468    ,452884.498928683    ,체력단련장업
서울특별시 중랑구 신내동 587-4 삼영빌딩,"서울특별시 중랑구 신내로14길 22, 삼영빌딩 3층 (신내동)",프리빗 PT 스튜디오 신내점,208475.908140543    ,455925.040626746    ,체력단련장업
서울특별시 중랑구 중화동 301-110,"서울특별시 중랑구 동일로 767, 지하1층 (중화동)",크로스핏 러쉬,206953.752122592    ,455178.394488831    ,체력단련장업
서울특별시 중랑구 면목동 68-2 서일타운,"서울특별시 중랑구 상봉로 7, 서일타운 지하1층 (면목동)",바디메이트짐 2호점,208263.088527414    ,453813.14793201     ,체력단련장업
서울특별시 중랑구 면목동 180-12 거흥빌딩,"서울특별시 중랑구 봉우재로14길 23, 거흥빌딩 4층 (면목동)",토니바디 피트니스,206857.195726672    ,454139.312316693    ,체력단련장업
서울특별시 중랑구 면목동 353-47,"서울특별시 중랑구 면목로 275-1, 3층 (면목동)",트루짐,207497.732897437    ,452801.624163005    ,체력단련장업
서울특별시 중랑구 면목동 507-26 수연one,"서울특별시 중랑구 용마산로 328, 수연one 3층 (면목동)",마스터피스짐 3호,208203.464125468    ,453200.90180214     ,체력단련장업
서울특별시 중랑구 상봉동 118-16,"서울특별시 중랑구 망우로 256, 타임스카이 지하1층 (상봉동)",크로스핏 라온3,207088.508452371    ,454739.360770068    ,체력단련장업
서울특별시 중랑구 신내동 565-1,"서울특별시 중랑구 신내로14길 10, 진유빌딩 2층 (신내동)",베르핏 앤 필라테스,208416.034548762    ,455911.383454322    ,체력단련장업
서울특별시 중랑구 면목동 605-32,"서울특별시 중랑구 사가정로 371-1, 송학드림타워 제1동동 지하1층 (면목동)",크로스핏 레오,207525.405414575    ,453207.524884916    ,체력단련장업
서울특별시 중랑구 묵동 174-10 묵동해오름아파트 상가동 102호,"서울특별시 중랑구 공릉로4길 4, 상가동 102호 (묵동, 묵동해오름아파트)",바디밸런스3.0 PT.필라테스,206826.247745832    ,456754.652814734    ,체력단련장업
서울특별시 중랑구 묵동 176-39 칼튼테라스,"서울특별시 중랑구 공릉로2길 8-4, 지하1층 (묵동, 칼튼테라스)",에이블짐 먹골역점,206859.335695194    ,456604.826307224    ,체력단련장업
서울특별시 동대문구 답십리동 469-8,"서울특별시 동대문구 황물로 63-1, 3층 (답십리동)",팀웰니스,204199.282764914    ,452211.312979424    ,체력단련장업
서울특별시 동대문구 휘경동 330,"서울특별시 동대문구 이문로 22, 유니스타워 2층 201, 202, 203호 (휘경동)",판타스틱짐 회기점,204855.056489622    ,454149.049376394    ,체력단련장업
서울특별시 동대문구 장안동 362-1 JB타워,"서울특별시 동대문구 장한로 68, JB타워 2층 (장안동)",스포애니 장안동점,205989.639587142    ,451618.945407423    ,체력단련장업
서울특별시 동대문구 장안동 294-10,"서울특별시 동대문구 답십리로 263, 중석빌딩 지하1층 (장안동)",빅풋,206076.571064694    ,452276.415572051    ,체력단련장업
서울특별시 동대문구 회기동 54-99,"서울특별시 동대문구 경희대로4길 44, 지층호 (회기동)",GYM TIME,204764.702000367    ,454376.649769208    ,체력단련장업
서울특별시 동대문구 전농동 620-15 청량리역 우남SL타워300,"서울특별시 동대문구 왕산로 186, 청량리역 우남SL타워300 B105, 106, 107호 (전농동)",L2 휘트니스 청량리점,203816.673034515    ,453023.128996239    ,체력단련장업
서울특별시 동대문구 휘경동 280-2,"서울특별시 동대문구 망우로 40, 초록빌딩 3층 (휘경동)",모던핏,205046.120848873    ,454035.693335274    ,체력단련장업
서울특별시 강북구 번동 446-13,"서울특별시 강북구 도봉로 328, 502호 (번동)",DW휘트니스,202155.401317068    ,459411.940883021    ,체력단련장업
서울특별시 강북구 미아동 49-163 스톤브릭,"서울특별시 강북구 오패산로 114, 스톤브릭 2층 (미아동)",라이프빌딩 PT,203022.177946263    ,456644.602246467    ,체력단련장업
서울특별시 강북구 미아동 197-5,"서울특별시 강북구 도봉로 204, 3층 (미아동)",버클필라테스앤피티 미아점,202250.005910928    ,458290.554645726    ,체력단련장업
