지번주소,도로명주소,사업장명,좌표정보(X),좌표정보(Y),점포구분명
서울특별시 중랑구 묵1동 170번지 1호 외 35필지,서울특별시 중랑구 동일로 932 (묵동),주식회사 이마트 묵동점,206777.731391054    ,456837.219624564    ,대규모점포
서울특별시 중랑구 상봉1동 500번지,"서울특별시 망우로 353-0 (상봉동, 프레미어스 엠코)",홈플러스(주) 서울 상봉점,207923.745922676    ,455090.718335439    ,대규모점포
서울특별시 중랑구 중화2동 314번지 1호,서울특별시 중랑구 동일로129길 35 (중화동),홈플러스(주) 익스프레스 태릉점,206771.217305763    ,455221.989517331    ,준대규모점포
서울특별시 중랑구 면목3.8동 499번지 4호,서울특별시 중랑구 면목로 357 (면목동),홈플러스(주)익스프레스 면목점,207708.364765906    ,453525.741161528    ,준대규모점포
서울특별시 중랑구 망우3동 410번지 1호,서울특별시 중랑구 용마산로 494 (망우동),홈플러스(주)익스프레스 망우점,208781.999418607    ,454740.62692431     ,준대규모점포
서울특별시 중랑구 면목7동 650번지 카멜리아 쇼핑센타 1층,서울특별시 중랑구 면목로39길 11 (면목동),(주)이마트에브리데이 면목동점,207553.170404939    ,453031.11581883     ,준대규모점포
서울특별시 중구 남창동 51번지 1호,,숭례문상가,197831.002724157    ,450794.31483169     ,대규모점포
서울특별시 용산구 한강로3가 2-8,"서울특별시 용산구 청파로 100, 12동 2층 (한강로3가)",(주)서부티엔디,196605.511573689    ,447841.270074498    ,대규모점포
서울특별시 송파구 잠실3동 40번지 1호 롯데월드,서울특별시 송파구 올림픽로 240 (잠실동),롯데하이마트잠실점,208589.363343145    ,445455.90405262     ,대규모점포
,"서울특별시 송파구 동남로 189 (가락동, 쌍용아파트)",(주)지에스리테일 송파점,211259.909777857    ,443711.702922024    ,준대규모점포
,"서울특별시 송파구 오금로31가길 20 (방이동, 대림아파트)",(주)지에스리테일 방이점,210908.984532034    ,445042.920252223    ,준대규모점포
,"서울특별시 송파구 올림픽로 435 (신천동, 파크리오아파트)",(주)지에스리테일 잠실파크리오점,209314.259995755    ,446483.316079239    ,준대규모점포
,서울특별시 송파구 오금로46길 49 (가락동),(주)지에스리테일 송파가락점,211693.932828168    ,443503.427857478    ,준대규모점포
,서울특별시 송파구 오금로32길 32 (송파동),(주)지에스리테일 송파2점,210432.726398095    ,444603.003663184    ,준대규모점포
,서울특별시 송파구 올림픽로 203 (잠실동),(주)지에스리테일 잠실점,208187.623477261    ,445589.718583334    ,준대규모점포
서울특별시 양천구 신정7동 324번지 10호 굿모닝탑  103~108호,"서울특별시 양천구 목동동로 53, 103~108호 (신정동,굿모닝탑)",홈플러스(주)익스프레스 신정3점,187619.993071747    ,445879.054862903    ,준대규모점포
서울특별시 양천구 신월5동 20번지 28호 외 1필지,"서울특별시 양천구 월정로46길 11 (신월동,외 1필지)",롯데쇼핑(주)롯데슈퍼 신월점,185164.559946017    ,448756.033565786    ,준대규모점포
서울특별시 양천구 신정동 1290-4 대우미래사랑5차아파트,"서울특별시 양천구 신정로13길 3, 대우미래사랑5차아파트 103~105호 (신정동)",롯데프레시 신정점,186071.979697827    ,445297.986765501    ,준대규모점포
서울특별시 양천구 신월5동 26번지,서울특별시 양천구 화곡로 59 (신월동),(주)이마트 신월점,184796.999053109    ,448625.389554748    ,준대규모점포
서울특별시 양천구 목5동 904번지 목동4단지아파트 관리동 105호,"서울특별시 양천구 목동서로 130, 관리동 105호 (목동,목동4단지아파트)",(주)이마트에브리데이 목동점,188580.483661607    ,447750.845210817    ,준대규모점포
서울특별시 동작구 대방동 501번지,,대림쇼핑타운,193273.484014052    ,445011.250115029    ,
서울특별시 도봉구 창동 135-1 경원선 창동민자역사,"서울특별시 도봉구 마들로11가길 6-8, 경원선 창동민자역사 (창동)",창동민자역사 상업시설(arena X square),204138.204768094    ,461223.191625815    ,대규모점포
서울특별시 도봉구 도봉동 95 도봉 아테라,"서울특별시 도봉구 마들로 708 (도봉동, 도봉 아테라)",(주)이마트에브리데이 도봉아테라점,204067.822626124    ,463429.737549948    ,준대규모점포
서울특별시 성동구 성수동2가 324-2 무신사 성수 S1,"서울특별시 성동구 성수이로 62, 무신사 성수 S1 (성수동2가)",무신사 캠퍼스 S1,204871.625958952    ,448673.754753153    ,대규모점포
서울특별시 강서구 공항동 1378 발쿠치네하우스 101동 101~4호,"서울특별시 강서구 송정로 53, 101동 101~104호 (공항동, 발쿠치네하우스)",GS THE FRESH 송정역점,183132.629865058    ,450838.756773739    ,준대규모점포
서울특별시 중랑구 묵동 165,서울특별시 중랑구 숙선옹주로 4 (묵동),세이지움묵동,206774.874230196    ,457011.632629502    ,대규모점포
서울특별시 성북구 장위동 301호,,번동시장,204162.777672643    ,457664.961911112    ,
서울특별시 광진구 구의2동 49번지 4호,서울특별시 광진구 자양로 293 (구의동),롯데 FRESH 아차산점,208075.543534642    ,449971.642025946    ,준대규모점포
서울특별시 광진구 구의3동 212번지 2호,서울특별시 광진구 아차산로 473 (구의동),홈플러스익스프레스 구의2점,208261.748825555    ,448701.658478751    ,준대규모점포
서울특별시 광진구 자양동 17번지 1호,서울특별시 광진구 아차산로 200 (자양동),커먼그라운드,205758.816662193    ,448768.161400623    ,대규모점포
서울특별시 광진구 구의동 66-25,서울특별시 광진구 광나루로39길 11 (구의동),구의 자이르네 판매시설,207775.86513205     ,449252.386906411    ,대규모점포
서울특별시 광진구 구의동 236-53 광진 더프레236,"서울특별시 광진구 자양로 168, 102호 (구의동, 광진 더프레236)",GS THE FRESH 광진구의점,207400.608063491    ,448930.683211743    ,준대규모점포
서울특별시 광진구 자양동 680-63 판매시설,"서울특별시 광진구 아차산로 402, 판매시설 (자양동)",넥스트커넥트피에프브이 (주)이스트폴 판매시설,207770.197118183    ,448131.0613924      ,대규모점포
서울특별시 광진구 능동 234-1,"서울특별시 광진구 천호대로112길 25, 1층 (능동)",GS THE FRESH 광진능동점,207108.67238502     ,450297.066731294    ,준대규모점포
서울특별시 광진구 구의동 257-126,"서울특별시 광진구 자양로18길 33, 1층 (구의동)",GS THE FRESH 구의역점,207475.742181881    ,448425.52828576     ,준대규모점포
서울특별시 동대문구 제기동 892번지 71호,서울특별시 동대문구 왕산로 109 (제기동),한솔동의보감,203075.098504907    ,452918.836458244    ,대규모점포
서울특별시 광진구 중곡동 140-27,"서울특별시 광진구 천호대로 577, 1층 (중곡동)",GS THE FRESH 광진중곡점,207209.236877061    ,450465.185988176    ,준대규모점포
