기관명,병원분류명,주소,병원경도,병원위도
가락서울치과의원,치과의원,"서울특별시 송파구 중대로9길 35, 3층 (가락동)",127.118306937019,37.4963112057974
김숙경산부인과의원,의원,서울특별시 강남구 선릉로 312  (대치동),127.052642849551,37.4975437191647
고운이치과의원,치과의원,서울특별시 강남구 선릉로 32,127.06091564644528,37.48267539190812
고운이치과의원,치과의원,서울특별시 관악구 은천로 114 (봉천동),126.9479768524914,37.48664259719149
김열회산부인과의원,의원,서울특별시 영등포구 여의대방로 386 (여의도동),126.931943269754,37.5188979456571
김영돈여성외과의원,의원,서울특별시 노원구 동일로 1371 (상계동),127.061138983038,37.6509527049264
국회사무처부속치과의원,치과의원,서울특별시 영등포구 의사당대로 1,126.91543005028254,37.53098126238796
골든뷰성형외과의원,의원,"서울특별시 강남구 압구정로 449, 3층 (청담동, 청하빌딩)",127.04655572360237,37.52623959153097
김예원내과의원,의원,"서울특별시 영등포구 국제금융로 70 (여의도동, 미원빌딩)",126.930677790628,37.5214946207638
가락성모의원,의원,"서울특별시 송파구 송파대로 284, 205호 (가락동, 소석빌딩)",127.117287159025,37.4948013251605
고운결한의원,한의원,"서울특별시 강동구 올림픽로 664, 306호 (천호동, 대우 한강 베네시티)",127.124975762766,37.540555377209
가락연세치과의원,치과의원,"서울특별시 송파구 송파대로 278, 2층 (가락동)",127.117732564407,37.4942820826033
나눔명품한의원,한의원,"서울특별시 영등포구 대림로 187, 조양빌딩 2층 (대림동)",126.8984262181262,37.49756214764642
곽치과의원,치과의원,"서울특별시 종로구 새문안로3길 30, 지하 118호 (내수동, 대우빌딩)",126.97175,37.572958333333325
가락우리치과의원,치과의원,"서울특별시 송파구 송파대로27길 28, 동원빌딩 (문정동)",127.116169965123,37.4910393744417
김경수정형외과의원,의원,"서울특별시 강동구 구천면로 200, 2층 (천호동, 은평빌딩)",127.126802458449,37.540281958736
홍익한의원,한의원,"서울특별시 동작구 사당로14길 13, 3층 (사당동)",126.97196902319764,37.48340621411594
가락한솔의원,의원,"서울특별시 송파구 양재대로 932, 관리업무동 5층 505호 (가락동, 가락동 농수산물도매시장)",127.108713599026,37.4945376921828
굿모닝힐의원,의원,"서울특별시 동작구 노량진로 225 (본동, 1층, 2층)",126.9509875396,37.5129523806
